type,class,Freq,YEAR
Mopane_Unchannelled valley-bottom,3,611,1990
Mopane_Unchannelled valley-bottom,NA,10826,1990
Namaqualand_Depression,1,274374,1990
Namaqualand_Depression,2,183,1990
Namaqualand_Depression,3,434,1990
Namaqualand_Depression,5,704,1990
Namaqualand_Depression,6,29000,1990
Northwest Fynbos_Depression,1,25316,1990
Northwest Fynbos_Depression,2,2433,1990
Northwest Fynbos_Depression,3,35,1990
Northwest Fynbos_Depression,5,483,1990
Northwest Fynbos_Depression,6,86,1990
Northwest Fynbos_Floodplain,1,243243,1990
Northwest Fynbos_Floodplain,2,23977,1990
Northwest Fynbos_Floodplain,3,39845,1990
Northwest Fynbos_Floodplain,4,326,1990
Northwest Fynbos_Floodplain,5,37878,1990
Northwest Fynbos_Floodplain,6,106,1990
Northwest Fynbos_Floodplain,7,2990,1990
Northwest Fynbos_Seep,1,58494,1990
Northwest Fynbos_Seep,2,4635,1990
Northwest Fynbos_Seep,3,1600,1990
Northwest Fynbos_Seep,5,16633,1990
Northwest Fynbos_Seep,6,5,1990
Northwest Fynbos_Seep,7,1145,1990
Northwest Fynbos_Unchannelled valley-bottom,1,8913,1990
Northwest Fynbos_Unchannelled valley-bottom,2,1463,1990
Northwest Fynbos_Unchannelled valley-bottom,3,36,1990
Northwest Fynbos_Unchannelled valley-bottom,5,6723,1990
Northwest Fynbos_Unchannelled valley-bottom,7,87,1990
Pondoland Coastal Belt_Floodplain,1,239,1990
Pondoland Coastal Belt_Floodplain,2,79,1990
Pondoland Coastal Belt_Floodplain,5,3,1990
Pondoland Coastal Belt_Seep,1,259,1990
Pondoland Coastal Belt_Seep,2,45,1990
Pondoland Coastal Belt_Seep,3,107,1990
Pondoland Coastal Belt_Seep,4,278,1990
Pondoland Coastal Belt_Seep,5,739,1990
Pondoland Coastal Belt_Seep,7,26,1990
Pondoland Coastal Belt_Unchannelled valley-bottom,1,386,1990
Pondoland Coastal Belt_Unchannelled valley-bottom,2,205,1990
Pondoland Coastal Belt_Unchannelled valley-bottom,5,66,1990
Southern Fynbos_Depression,1,36905,1990
Southern Fynbos_Depression,2,37,1990
Southern Fynbos_Depression,3,89,1990
Southern Fynbos_Depression,5,465,1990
Southern Fynbos_Depression,6,18,1990
Southern Fynbos_Floodplain,1,329979,1990
Southern Fynbos_Floodplain,2,19799,1990
Southern Fynbos_Floodplain,3,14062,1990
Southern Fynbos_Floodplain,4,2859,1990
Southern Fynbos_Floodplain,5,171873,1990
Southern Fynbos_Floodplain,6,43,1990
Southern Fynbos_Floodplain,7,16205,1990
Southern Fynbos_Seep,1,153372,1990
Southern Fynbos_Seep,2,7370,1990
Southern Fynbos_Seep,3,3932,1990
Southern Fynbos_Seep,4,864,1990
Southern Fynbos_Seep,5,14313,1990
Southern Fynbos_Seep,6,31,1990
Southern Fynbos_Seep,7,6365,1990
Southern Fynbos_Unchannelled valley-bottom,1,27843,1990
Southern Fynbos_Unchannelled valley-bottom,2,996,1990
Southern Fynbos_Unchannelled valley-bottom,3,4499,1990
Southern Fynbos_Unchannelled valley-bottom,4,475,1990
Southern Fynbos_Unchannelled valley-bottom,5,2495,1990
Southern Fynbos_Unchannelled valley-bottom,7,708,1990
Southwest Fynbos_Depression,1,16846,1990
Southwest Fynbos_Depression,2,50,1990
Southwest Fynbos_Depression,4,43,1990
Southwest Fynbos_Depression,5,200,1990
Southwest Fynbos_Depression,6,281,1990
Southwest Fynbos_Depression,7,80,1990
Southwest Fynbos_Floodplain,1,605129,1990
Southwest Fynbos_Floodplain,2,43177,1990
Southwest Fynbos_Floodplain,3,45273,1990
Southwest Fynbos_Floodplain,4,12323,1990
Southwest Fynbos_Floodplain,5,140996,1990
Southwest Fynbos_Floodplain,6,289,1990
Southwest Fynbos_Floodplain,7,38089,1990
Southwest Fynbos_Seep,1,373713,1990
Southwest Fynbos_Seep,2,21155,1990
Southwest Fynbos_Seep,3,40750,1990
Southwest Fynbos_Seep,4,17900,1990
Southwest Fynbos_Seep,5,33691,1990
Southwest Fynbos_Seep,6,22,1990
Southwest Fynbos_Seep,7,17205,1990
Southwest Fynbos_Unchannelled valley-bottom,1,25386,1990
Southwest Fynbos_Unchannelled valley-bottom,2,3886,1990
Southwest Fynbos_Unchannelled valley-bottom,3,579,1990
Southwest Fynbos_Unchannelled valley-bottom,4,200,1990
Southwest Fynbos_Unchannelled valley-bottom,5,3467,1990
Southwest Fynbos_Unchannelled valley-bottom,6,3,1990
Southwest Fynbos_Unchannelled valley-bottom,7,1006,1990
Sub-Escarpment Grassland_Depression,1,83056,1990
Sub-Escarpment Grassland_Depression,2,10648,1990
Sub-Escarpment Grassland_Depression,3,2129,1990
Sub-Escarpment Grassland_Depression,4,1943,1990
Sub-Escarpment Grassland_Depression,5,16360,1990
Sub-Escarpment Grassland_Depression,6,232,1990
Sub-Escarpment Grassland_Depression,7,654,1990
Sub-escarpment Grassland_Floodplain,1,853801,1990
Sub-escarpment Grassland_Floodplain,2,264558,1990
Sub-escarpment Grassland_Floodplain,3,67301,1990
Sub-escarpment Grassland_Floodplain,4,10986,1990
Sub-escarpment Grassland_Floodplain,5,229342,1990
Sub-escarpment Grassland_Floodplain,6,756,1990
Sub-escarpment Grassland_Floodplain,7,100293,1990
Sub-escarpment Grassland_Seep,1,1442892,1990
Sub-escarpment Grassland_Seep,2,397215,1990
Sub-escarpment Grassland_Seep,3,132821,1990
Sub-escarpment Grassland_Seep,4,54101,1990
Sub-escarpment Grassland_Seep,5,392717,1990
Sub-escarpment Grassland_Seep,6,1051,1990
Sub-escarpment Grassland_Seep,7,175648,1990
Sub-escarpment Grassland_Unchannelled valley-bottom,1,353244,1990
Sub-escarpment Grassland_Unchannelled valley-bottom,2,92226,1990
Sub-escarpment Grassland_Unchannelled valley-bottom,3,30790,1990
Sub-escarpment Grassland_Unchannelled valley-bottom,4,7661,1990
Sub-escarpment Grassland_Unchannelled valley-bottom,5,82794,1990
Sub-escarpment Grassland_Unchannelled valley-bottom,6,54,1990
Sub-escarpment Grassland_Unchannelled valley-bottom,7,13061,1990
Sub-escarpment Savanna_Depression,1,5964,1990
Sub-escarpment Savanna_Depression,2,440,1990
Sub-escarpment Savanna_Depression,3,76,1990
Sub-escarpment Savanna_Depression,4,1692,1990
Sub-escarpment Savanna_Depression,5,1258,1990
Sub-escarpment Savanna_Depression,6,64,1990
Sub-escarpment Savanna_Depression,7,30,1990
Sub-escarpment Savanna_Floodplain,1,159483,1990
Sub-escarpment Savanna_Floodplain,2,52538,1990
Sub-escarpment Savanna_Floodplain,3,34455,1990
Sub-escarpment Savanna_Floodplain,4,16988,1990
Sub-escarpment Savanna_Floodplain,5,53498,1990
Sub-escarpment Savanna_Floodplain,6,13,1990
Sub-escarpment Savanna_Floodplain,7,66950,1990
Sub-escarpment Savanna_Seep,1,165625,1990
Sub-escarpment Savanna_Seep,2,62252,1990
Sub-escarpment Savanna_Seep,3,14508,1990
Sub-escarpment Savanna_Seep,4,32640,1990
Sub-escarpment Savanna_Seep,5,80664,1990
Sub-escarpment Savanna_Seep,6,96,1990
Sub-escarpment Savanna_Seep,7,74965,1990
Sub-escarpment Savanna_Unchannelled valley-bottom,1,18931,1990
Sub-escarpment Savanna_Unchannelled valley-bottom,2,6522,1990
Sub-escarpment Savanna_Unchannelled valley-bottom,3,1082,1990
Sub-escarpment Savanna_Unchannelled valley-bottom,4,7749,1990
Sub-escarpment Savanna_Unchannelled valley-bottom,5,6885,1990
Sub-escarpment Savanna_Unchannelled valley-bottom,6,81,1990
Sub-escarpment Savanna_Unchannelled valley-bottom,7,5790,1990
West Coast_Depression,1,14239,1990
West Coast_Depression,2,29,1990
West Coast_Depression,4,8,1990
West Coast_Depression,5,542,1990
West Coast_Depression,6,6,1990
West Coast_Depression,7,2,1990
West Coast_Floodplain,1,333614,1990
West Coast_Floodplain,2,27157,1990
West Coast_Floodplain,3,11760,1990
West Coast_Floodplain,4,3931,1990
West Coast_Floodplain,5,119031,1990
West Coast_Floodplain,6,38,1990
West Coast_Floodplain,7,1143,1990
West Coast_Seep,1,56809,1990
West Coast_Seep,2,6615,1990
West Coast_Seep,3,1438,1990
West Coast_Seep,4,2097,1990
West Coast_Seep,5,15300,1990
West Coast_Seep,6,392,1990
West Coast_Seep,7,94,1990
West Coast_Unchannelled valley-bottom,1,10387,1990
West Coast_Unchannelled valley-bottom,2,1164,1990
West Coast_Unchannelled valley-bottom,3,405,1990
West Coast_Unchannelled valley-bottom,4,18,1990
West Coast_Unchannelled valley-bottom,5,2251,1990
West Coast_Unchannelled valley-bottom,7,1,1990
Albany Thicket_Depression,1,42672,2018
Albany Thicket_Depression,2,4459,2018
Albany Thicket_Depression,3,10425,2018
Albany Thicket_Depression,4,1198,2018
Albany Thicket_Depression,5,2292,2018
Albany Thicket_Depression,6,851,2018
Albany Thicket_Depression,7,96,2018
Albany Thicket_Floodplain,1,40996,2018
Albany Thicket_Floodplain,2,6488,2018
Albany Thicket_Floodplain,3,210,2018
Albany Thicket_Floodplain,4,519,2018
Albany Thicket_Floodplain,5,19852,2018
Albany Thicket_Floodplain,7,59,2018
Albany Thicket_Seep,1,1820,2018
Albany Thicket_Seep,2,404,2018
Albany Thicket_Seep,4,6,2018
Albany Thicket_Seep,5,224,2018
Bushmanland_Depression,1,7984493,2018
Bushmanland_Depression,2,72569,2018
Bushmanland_Depression,3,3622,2018
Bushmanland_Depression,4,8978,2018
Bushmanland_Depression,5,55958,2018
Bushmanland_Depression,6,9804,2018
Bushmanland_Depression,7,404,2018
Bushmanland_Floodplain,1,234773,2018
Bushmanland_Floodplain,2,533,2018
Bushmanland_Floodplain,4,605,2018
Bushmanland_Floodplain,5,11,2018
Bushmanland_Floodplain,6,385,2018
Bushmanland_Floodplain,7,87,2018
Bushmanland_Seep,1,41265,2018
Bushmanland_Seep,2,42,2018
Bushmanland_Seep,3,1,2018
Bushmanland_Seep,4,60,2018
Bushmanland_Seep,5,56,2018
Bushmanland_Unchannelled valley-bottom,1,1705994,2018
Bushmanland_Unchannelled valley-bottom,2,52744,2018
Bushmanland_Unchannelled valley-bottom,3,2019,2018
Bushmanland_Unchannelled valley-bottom,4,2271,2018
Bushmanland_Unchannelled valley-bottom,5,4687,2018
Bushmanland_Unchannelled valley-bottom,6,314,2018
Bushmanland_Unchannelled valley-bottom,7,54,2018
Central Bushveld_Depression,1,93656,2018
Central Bushveld_Depression,2,18079,2018
Central Bushveld_Depression,3,1395,2018
Central Bushveld_Depression,4,2698,2018
Central Bushveld_Depression,5,2711,2018
Central Bushveld_Depression,6,1567,2018
Central Bushveld_Depression,7,417,2018
Central Bushveld_Floodplain,1,2563957,2018
Central Bushveld_Floodplain,2,568473,2018
Central Bushveld_Floodplain,3,57697,2018
Central Bushveld_Floodplain,4,64776,2018
Central Bushveld_Floodplain,5,548775,2018
Central Bushveld_Floodplain,6,2950,2018
Central Bushveld_Floodplain,7,8850,2018
