type,type_area,X,eoo_km2,nat1990,nat2018,nat2022,prpnat1990,prpnat2018,prpnat2022,ard9022,nat40_9022,prplost9040_9022,ard1822,nat40_1822,prplost9040_1822,ard9018,nat40_9018,prplost9040_9018,rod9022,rod1822,rod9018,A3_24,A2b_24,B1ai_24,A3_18,A2b_18,B1ai_18
Sub-escarpment Grassland_Floodplain,1225455600,Sub-escarpment Grassland_Floodplain,134789.44044241,674886400,564311200,547233200,0.5507228495263312,0.46049093904340554,0.44655489762338185,3989162.5,475428275,0.29554325735412657,4269500,350836200,0.48015517870859453,3949114.285714286,477430685.71428573,0.292576223621804,0.5910865147082531,0.9603103574171891,0.585152447243608,VU,VU,LC,VU,LC,LC
Sub-escarpment Grassland_Seep,1360119200,Sub-escarpment Grassland_Seep,131741.627810133,786592000,674185200,664173200,0.5783257820343982,0.4956809667858523,0.48831984726044597,3825587.5,595312625,0.24317482888206338,2503000,549035200,0.3020076481835564,4014528.5714285714,585865571.4285715,0.255184935228719,0.48634965776412675,0.6040152963671128,0.510369870457438,VU,VU,LC,VU,LC,LC
Sub-escarpment Grassland_Unchannelled valley-bottom,272607200,Sub-escarpment Grassland_Unchannelled valley-bottom,117316.238930692,161446400,140270000,138568400,0.5922308728456182,0.5145498724905285,0.5083079243688354,714937.5,125699525,0.22141636481209861,425400,119000000,0.26291326409260285,756300,123631400,0.2342263438515817,0.44283272962419723,0.5258265281852057,0.46845268770316334,LC,LC,LC,LC,LC,LC
Sub-escarpment Savanna_Depression,3860000,Sub-escarpment Savanna_Depression,118572.821282924,2410400,2193200,2151600,0.6244559585492228,0.5681865284974094,0.5574093264248705,8087.5,2006025,0.16776261201460338,10400,1673200,0.30584135413209423,7757.142857142857,2022542.8571428573,0.1609098667678156,0.33552522402920676,0.6116827082641885,0.3218197335356312,LC,VU,LC,LC,LC,LC
Sub-escarpment Savanna_Floodplain,172450400,Sub-escarpment Savanna_Floodplain,83434.905559922,73617200,58523600,57272800,0.42688912290142556,0.3393648260601309,0.33211172603832756,510762.5,48079075,0.34690432398950244,312700,42888600,0.4174106051303228,539057.1428571428,46664342.85714286,0.36612173707852436,0.6938086479790049,0.8348212102606455,0.7322434741570487,VU,VU,LC,VU,VU,LC
Sub-escarpment Savanna_Seep,192166800,Sub-escarpment Savanna_Seep,87480.1094811416,81173200,65342400,64498800,0.4224101145463212,0.3400295992856206,0.33563966304273163,521075,55119450,0.32096492438390994,210900,54797400,0.3249323668402872,565385.7142857143,52903914.28571428,0.34825885531537154,0.6419298487678199,0.6498647336805744,0.6965177106307431,VU,VU,LC,VU,VU,LC
Sub-escarpment Savanna_Unchannelled valley-bottom,19172800,Sub-escarpment Savanna_Unchannelled valley-bottom,66041.9501205251,7862400,6197200,6132800,0.41008094800968037,0.3232287407160144,0.3198698155720604,54050,5159900,0.34372456247456246,16100,5392200,0.3141788766788767,59471.42857142857,4888828.571428571,0.37820149427292293,0.6874491249491249,0.6283577533577533,0.7564029885458459,VU,VU,LC,VU,VU,LC
West Coast_Depression,5930400,West Coast_Depression,2474.31977502177,5695600,5455600,5423600,0.9604073924187239,0.9199379468501282,0.9145420207743153,8500,5270600,0.07461900414354941,8000,5055600,0.11236744153381557,8571.42857142857,5267028.571428572,0.07524605459853714,0.14923800828709882,0.22473488306763112,0.1504921091970743,LC,LC,LC,LC,LC,LC
West Coast_Floodplain,199048800,West Coast_Floodplain,14642.2971850752,133721600,112300800,110860000,0.6718030955223041,0.5641872746783704,0.5569488487245339,714425,98000350,0.2671314881066335,360200,94290800,0.2948723317698861,765028.5714285715,95470171.42857143,0.28605272873962445,0.534262976213267,0.5897446635397722,0.5721054574792489,LC,LC,EN,LC,LC,EN
West Coast_Seep,33168800,West Coast_Seep,14671.0481774388,22760000,19257200,18968800,0.686187019126408,0.58058175152553,0.5718868334097104,118475,16836250,0.2602702108963093,72100,15652200,0.31229349736379614,125100,16505000,0.2748242530755712,0.5205404217926186,0.6245869947275923,0.5496485061511424,LC,VU,EN,LC,LC,EN
West Coast_Unchannelled valley-bottom,5792800,West Coast_Unchannelled valley-bottom,4894.9431015017,4214000,3173600,3091600,0.7274547714404088,0.5478525065598674,0.5336970031763568,35075,2460250,0.41617228286663505,20500,2148600,0.4901281442809682,37157.142857142855,2356142.8571428573,0.44087734761678754,0.8323445657332701,0.9802562885619364,0.8817546952335751,LC,VU,EN,LC,VU,EN
